filename,fire
batch_b4_tile_14.png,1.0
output.png,1.0
test_image.png,1.0
test_image_5.jpg,1.0
cl6b5l3lm0041l45509eycth4_4_FALSE_COLOR__URBAN_jpg.rf.c446a4c82b0afe696dbd2d1cf4f98031.jpg,1.0
cl6kjin4n001k8w556abi09ie_1_TRUE_COLOR_jpg.rf.c404238065f539335a856daaa1afb48e.jpg,1.0
cl6od1qhh0014ao55hlfact4a_4_FALSE_COLOR__URBAN_jpg.rf.c484436e6bca5e5c58d00c45c8774523.jpg,1.0
cl6orlxem009lao5513o7hr6s_6_SWIR_jpg.rf.c47e3626f5b6ad5b984166f9981423bb.jpg,1.0
cl6e1zx08001pgk554gv1bhpt_1_TRUE_COLOR_jpg.rf.c498bcf50015a3ede45e5f9474d91e45.jpg,1.0
cl6csnj9g00ftl4554f0z30lc_4_FALSE_COLOR__URBAN_jpg.rf.c48ea826e1a0aec07f953f989e975cec.jpg,1.0
cl6ou90tv00acao559ijshkxd_6_SWIR_jpg.rf.c42ee91a540f8e259faf592c76c76691.jpg,1.0
cl6kjle3b001q8w55cr3p1f1z_1_TRUE_COLOR_jpg.rf.c448f2e6336b83fc360367dcd01191be.jpg,1.0
cl6ojrtzp004zao55hqhsfffg_2_FALSE_COLOR_jpg.rf.c44fcf02f66a6495716c1098150dc56f.jpg,1.0
cl6kfr3gw001gc4556plk3d6y_2_FALSE_COLOR_jpg.rf.c461b1162b1a55a4533e6a0116834d36.jpg,1.0
cl6e2dity001vgk551ar0hanj_4_FALSE_COLOR__URBAN_jpg.rf.c42dcd4102d2deb00dfbcc2e4ca3898e.jpg,1.0
cl6e0k0280013gk550nd9grxm_1_TRUE_COLOR_jpg.rf.c462d498e8fcdc55a27339c824315f7b.jpg,1.0
cl6oiyg3q003zao55c5k11xtf_4_FALSE_COLOR__URBAN_jpg.rf.c482939a857c6d0affb67d7d75192a5b.jpg,1.0
cl6b5r021004pl4558sub5at0_4_FALSE_COLOR__URBAN_jpg.rf.c41bdf84f1ef1a12fe5782ff5c372b00.jpg,1.0
cl6cpfs8q00dml4554w0t2f82_1_TRUE_COLOR_jpg.rf.c44a8b40e8a677c1f0c9ff5af5dc77bc.jpg,1.0
cl6b77933009jl4554y5l30h3_6_SWIR_jpg.rf.c48ca7702a416bca0d72882ca1462bca.jpg,1.0
cl6oui3xy00aoao55d29e9vlz_2_FALSE_COLOR_jpg.rf.c40e8a97495426b36ffd6dabfd46a86a.jpg,1.0
cl6oigza00032ao5597wob75w_1_TRUE_COLOR_jpg.rf.c4310eceb2000286e6a50b24b55cd1ef.jpg,1.0
cl6oqcmju008wao550c102qjq_4_FALSE_COLOR__URBAN_jpg.rf.c46e37931e3889141c9e5cd54e1e96f0.jpg,1.0
cl6oqq4r40096ao557h69gx2o_2_FALSE_COLOR_jpg.rf.c4aa2b84e68ad9284dd1886f7980f873.jpg,1.0
cl6kez8j70002c455axv68ulf_1_TRUE_COLOR_jpg.rf.c4a81539612a1ff0653024dc4f3e2f04.jpg,1.0
cl6odcx12001oao55f8bma9y4_4_FALSE_COLOR__URBAN_jpg.rf.c493ee82e47cd046035c10ee173d6134.jpg,1.0
cl6b76fnk009dl4556z3y9qgs_1_TRUE_COLOR_jpg.rf.c439236ba46939f56cd97b6dcaccb5d8.jpg,1.0
cl6b5l3lm0041l45509eycth4_4_FALSE_COLOR__URBAN_jpg.rf.c49687112ef1f372b66f8bcfaaf92741.jpg,1.0
cl6chfm2800c4l455ensx26aq_2_FALSE_COLOR_jpg.rf.c42ca8e9685fa17330523168e830f3a3.jpg,1.0
cl6b5dtwl003gl455a4x29a1d_1_TRUE_COLOR_jpg.rf.c4cca9d87c0ae2e758553c0131107f4c.jpg,1.0
cl6lt50lf00278w555isdaowx_1_TRUE_COLOR_jpg.rf.c4af777dc7170d4790386e5f2007722d.jpg,1.0
cl6dzjmr4000qhg55bnr2akq0_2_FALSE_COLOR_jpg.rf.c4c1d185f8d8fc28bcfcceed2a992a5f.jpg,1.0
