image_name,tags
train_0.jpg,haze primary
train_1.jpg,agriculture clear primary water
train_2.jpg,clear primary
train_3.jpg,clear primary
train_4.jpg,agriculture clear habitation primary road
train_5.jpg,haze primary water
train_6.jpg,agriculture clear cultivation primary water
train_7.jpg,haze primary
train_8.jpg,agriculture clear cultivation primary
train_9.jpg,agriculture clear cultivation primary road
train_10.jpg,agriculture clear primary slash_burn water
train_11.jpg,clear primary water
train_12.jpg,cloudy
train_13.jpg,clear primary
train_14.jpg,cloudy
train_15.jpg,clear primary
train_16.jpg,clear primary
train_17.jpg,partly_cloudy primary
train_18.jpg,clear primary
train_19.jpg,agriculture clear primary road
train_20.jpg,agriculture clear primary water
train_21.jpg,clear primary road water
train_22.jpg,partly_cloudy primary
train_23.jpg,agriculture clear primary road
train_24.jpg,conventional_mine partly_cloudy primary
train_25.jpg,clear primary
train_26.jpg,cloudy
train_27.jpg,agriculture partly_cloudy primary water
train_28.jpg,clear primary
train_29.jpg,partly_cloudy primary
train_30.jpg,clear primary water
train_31.jpg,clear cultivation primary
train_32.jpg,agriculture clear primary road
train_33.jpg,agriculture cultivation partly_cloudy primary
train_34.jpg,clear primary
train_35.jpg,clear primary
train_36.jpg,agriculture clear primary road
train_37.jpg,partly_cloudy primary
train_38.jpg,clear primary
train_39.jpg,clear primary
train_40.jpg,agriculture clear cultivation primary
train_41.jpg,agriculture clear primary
train_42.jpg,clear primary
train_43.jpg,bare_ground haze
train_44.jpg,clear primary
train_45.jpg,clear primary
train_46.jpg,bare_ground clear habitation primary
train_47.jpg,clear primary water
train_48.jpg,clear primary water
train_49.jpg,clear primary
train_50.jpg,cloudy
train_51.jpg,clear primary
train_52.jpg,agriculture clear habitation primary road water
train_53.jpg,clear primary
train_54.jpg,clear primary
train_55.jpg,partly_cloudy primary road water
train_56.jpg,clear primary water
train_57.jpg,artisinal_mine bare_ground clear primary water
train_58.jpg,agriculture clear primary road
train_59.jpg,agriculture clear habitation primary road
train_60.jpg,haze primary
train_61.jpg,clear primary
train_62.jpg,clear primary water
train_63.jpg,agriculture clear primary road
train_64.jpg,agriculture clear primary
train_65.jpg,clear primary
train_66.jpg,agriculture clear primary road
train_67.jpg,clear habitation primary road
train_68.jpg,cloudy
train_69.jpg,clear primary
train_70.jpg,blooming clear primary
train_71.jpg,clear primary water
train_72.jpg,cloudy
train_73.jpg,clear primary
train_74.jpg,agriculture partly_cloudy primary road
train_75.jpg,agriculture clear primary road water
train_76.jpg,partly_cloudy primary
train_77.jpg,cloudy
train_78.jpg,clear primary
train_79.jpg,clear cultivation primary
train_80.jpg,agriculture partly_cloudy primary road
train_81.jpg,clear primary
train_82.jpg,blooming clear cultivation habitation primary slash_burn
train_83.jpg,clear primary
train_84.jpg,agriculture clear habitation primary road
train_85.jpg,clear primary water
train_86.jpg,clear primary
train_87.jpg,cloudy
train_88.jpg,partly_cloudy primary
train_89.jpg,clear primary
train_90.jpg,agriculture partly_cloudy primary road
train_91.jpg,partly_cloudy primary
train_92.jpg,agriculture clear habitation primary road
train_93.jpg,clear primary
train_94.jpg,agriculture clear habitation primary road
train_95.jpg,clear primary
train_96.jpg,clear primary
